pos,05,06,07,08,09,10,11,12,13,14,15,16
1,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Manchester United
2,Manchester United,Barcelona,Manchester United,Manchester United,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Manchester United,Barcelona,Barcelona
3,AC Milan,Juventus,Barcelona,Barcelona,Manchester United,Manchester United,Manchester United,Manchester United,Bayern Munich,Bayern Munich,Manchester United,Real Madrid
4,Juventus,Manchester United,Chelsea,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Manchester United,Barcelona,Paris Saint-Germain ,Bayern Munich
5,Chelsea,AC Milan,Arsenal,Chelsea,Arsenal,Arsenal,Arsenal,Chelsea,Paris Saint-Germain ,Paris Saint-Germain ,Bayern Munich,Manchester City
6,Barcelona,Chelsea,AC Milan,Arsenal,Chelsea,Chelsea,Chelsea,Arsenal,Manchester City ,Manchester City ,Manchester City ,Paris Saint-Germain
7,Bayern Munich,Inter Milan ,Bayern Munich,Liverpool,Liverpool,AC Milan,AC Milan,Manchester City ,Chelsea,Chelsea,Arsenal,Arsenal
8,Liverpool,Bayern Munich,Liverpool,AC Milan,Juventus,Liverpool,Inter Milan ,AC Milan,Arsenal,Arsenal,Chelsea,Chelsea
9,Inter Milan ,Arsenal,Inter Milan ,AS Roma,Inter Milan ,Inter Milan ,Liverpool,Liverpool,Juventus,Liverpool,Liverpool,Liverpool
10,Arsenal,Liverpool,AS Roma,Inter Milan ,AC Milan,Juventus,Schalke,Juventus,AC Milan,Juventus,Juventus,Juventus
